,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-359,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-112,1992,18,16,1430,15.9,1,0,1,1,0,0,2,0,0.7,0.7,1.0,1.7,33,59,42,0.06,0.00,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-246,1997,19,9,796,8.8,4,0,4,4,0,0,1,0,4.5,4.5,1.0,5.5,11,7,36,0.45,0.00,0.45,0.45,0.45,0.51,0.11,0.62,0.51,0.62,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-191,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.19,0.58,0.77,0.19,0.77,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-119,1989,9,1,262,2.9,0,0,0,0,0,1,0,0,1.0,0.3,0.0,0.3,3,6,15,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.09,0.09,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-216,1991,30,23,2002,22.2,3,2,5,3,0,0,3,0,2.3,2.3,2.5,4.7,56,46,119,0.13,0.09,0.22,0.13,0.22,0.10,0.11,0.21,0.10,0.21,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-233,1991,23,16,1514,16.8,1,1,2,1,0,0,2,0,2.0,2.0,1.6,3.6,18,58,67,0.06,0.06,0.12,0.06,0.12,0.12,0.10,0.21,0.12,0.21,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-230,1989,19,11,1106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1.0,1.3,17,59,60,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-020,2001,8,7,635,7.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,9,43,1,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.18,0.12,0.18,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-249,1997,29,23,1735,19.3,4,3,7,4,0,0,4,0,4.9,4.9,3.6,8.5,76,26,166,0.21,0.16,0.36,0.21,0.36,0.25,0.19,0.44,0.25,0.44,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-175,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0.00,0.17,0.17,0.17,0.13,0.06,0.20,0.13,0.20,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-222,1993,22,13,1129,12.5,3,2,5,3,0,1,2,0,6.4,5.6,0.9,6.4,14,19,78,0.24,0.16,0.40,0.24,0.40,0.51,0.07,0.57,0.44,0.51,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-007,1998,16,4,500,5.6,0,0,0,0,0,0,3,1,0.3,0.3,0.8,1.0,8,36,22,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-127,1997,28,27,2287,25.4,10,1,11,10,0,0,2,0,7.6,7.6,2.1,9.7,85,65,228,0.39,0.04,0.43,0.39,0.43,0.30,0.08,0.38,0.30,0.38,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-054,2002,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-098,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-003,1996,12,12,1002,11.1,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-003,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,25-362,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-299,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
